,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Jimmy Graham,NOR,5,5,100.00%,31,4,7.7%,4,4,100.00%,19,4,12.1%,All Jimmy Graham red zone receiving plays,GrahJi00
Kylen Granson,IND,5,3,60.00%,11,1,8.5%,4,2,50.00%,5,1,16.0%,All Kylen Granson red zone receiving plays,GranKy00
Breece Hall,NYJ,5,4,80.00%,31,2,10.2%,3,2,66.67%,12,2,9.7%,All Breece Hall red zone receiving plays,HallBr03
Tyler Higbee,LAR,5,3,60.00%,24,2,6.8%,4,2,50.00%,12,2,9.8%,All Tyler Higbee red zone receiving plays,HigbTy00
Isaiah Hodgins,NYG,5,3,60.00%,31,3,15.2%,2,1,50.00%,8,1,16.7%,All Isaiah Hodgins red zone receiving plays,HodgIs00
Andrei Iosivas,CIN,5,4,80.00%,15,4,6.8%,4,4,100.00%,15,4,10.8%,All Andrei Iosivas red zone receiving plays,IosiAn00
Kyle Juszczyk,SFO,5,5,100.00%,28,1,7.1%,2,2,100.00%,10,1,7.7%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Christian Kirk,JAX,5,2,40.00%,8,0,7.9%,2,1,50.00%,2,0,6.7%,All Christian Kirk red zone receiving plays,KirkCh01
Jerick McKinnon,KAN,5,5,100.00%,40,4,5.7%,3,3,100.00%,17,3,6.3%,All Jerick McKinnon red zone receiving plays,McKiJe00
Jaleel McLaughlin,DEN,5,5,100.00%,28,1,7.7%,1,1,100.00%,8,0,2.9%,All Jaleel McLaughlin red zone receiving plays,McLaJa00
Rondale Moore,ARI,5,4,80.00%,20,0,8.6%,1,0,0.00%,0,0,3.8%,All Rondale Moore red zone receiving plays,MoorRo02
Zack Moss,IND,5,4,80.00%,37,2,8.5%,2,1,50.00%,1,0,8.0%,All Zack Moss red zone receiving plays,MossZa00
Luke Musgrave,GNB,5,2,40.00%,11,0,5.6%,1,0,0.00%,0,0,2.7%,All Luke Musgrave red zone receiving plays,MusgLu00
Josh Oliver,MIN,5,4,80.00%,19,2,6.3%,3,2,66.67%,7,2,6.4%,All Josh Oliver red zone receiving plays,OlivJo00
Kyle Pitts,ATL,5,3,60.00%,14,1,9.3%,3,2,66.67%,12,1,10.7%,All Kyle Pitts red zone receiving plays,PittKy00
Brian Robinson,WAS,5,5,100.00%,3,2,7.8%,2,2,100.00%,8,2,5.7%,All Brian Robinson red zone receiving plays,RobiBr01
Luke Schoonmaker,DAL,5,3,60.00%,19,2,4.8%,3,2,66.67%,1,1,5.9%,All Luke Schoonmaker red zone receiving plays,SchoLu00
Tyler Scott,CHI,5,3,60.00%,16,0,8.9%,3,1,33.33%,-1,0,11.5%,All Tyler Scott red zone receiving plays,ScotTy00
Irv Smith,CIN,5,4,80.00%,25,1,6.8%,4,3,75.00%,14,1,10.8%,All Irv Smith red zone receiving plays,SmitIr01
Kadarius Toney,KAN,5,3,60.00%,6,1,5.7%,3,3,100.00%,6,1,6.3%,All Kadarius Toney red zone receiving plays,ToneKa00
Jaylen Warren,PIT,5,5,100.00%,16,0,11.9%,2,2,100.00%,1,0,11.1%,All Jaylen Warren red zone receiving plays,WarrJa01
